BusinessAge_Years,Directors_PersonalCreditScore,AnnualTurnover_GBP,CurrentRatio,DebtToEquityRatio,Industry,HasCCJ,Default_12M
7,757,853655.3140124046,2.8192671250923986,0.5512351409031784,Professional Services,0,1
15,461,1121751.2852519026,1.4299998115153678,0.20627504660817894,Logistics & Transport,0,0
11,679,1669542.1899894378,1.196119486703318,2.1419872923636665,Construction,1,1
8,386,183990.02341062215,1.8747039511785015,0.9512135035055449,Construction,0,1
7,354,877378.9274755318,2.844046521843219,3.958783886540563,Logistics & Transport,0,1
19,775,211104.44374557392,3.3805033541862364,2.3403033479016027,Logistics & Transport,0,0
11,477,1053582.2938183476,2.790737206599718,0.6377525504884406,Professional Services,0,0
11,690,1802856.606812159,3.06562095505511,2.786173909164325,Construction,0,0
4,648,1575845.602899679,2.30919291851155,3.6011999093879288,Logistics & Transport,0,1
8,307,494292.71420906443,3.0062234925263778,3.006200031941496,Professional Services,0,1
3,612,1953182.1567176452,2.853262574010253,0.39811545805384585,Retail,0,0
2,742,1351333.2761905354,1.6309566257788402,3.5939483066513724,Construction,0,1
12,627,70334.01382493597,2.155970906362163,3.1963246048538627,Construction,0,1
6,353,548056.295136178,2.9142593659690847,0.717385210411896,Professional Services,0,1
2,538,558390.9348438373,0.6381702025698691,0.3019649660579858,Retail,0,1
1,528,185045.89725742687,2.9242378470674897,2.273511243725803,Professional Services,1,1
12,350,1921661.7102480615,1.0336643721470704,0.7085396642259099,Construction,0,1
12,563,982597.8244230513,2.0440508513643167,3.354904715121561,Construction,0,1
17,717,1796838.4648751698,2.924826318667813,1.4975051610195276,Professional Services,0,0
10,395,678320.2317170253,1.2614632344700847,3.660280534472644,Logistics & Transport,0,1
16,387,294205.4623440129,1.2374223179184591,2.3061838713499223,Construction,0,1
15,377,974955.4143171171,1.7082931953867555,0.8124222985347057,Professional Services,0,1
15,587,272215.43769291847,3.183928392732904,0.6444355827032203,Construction,0,0
19,419,997730.2308062029,0.5013283443116237,2.3482425064752404,Construction,0,1
12,790,1844579.503377845,3.204149289925805,3.071346086263531,Construction,1,1
3,751,1065497.8765767147,0.9614210739248233,3.14787202619451,Logistics & Transport,0,1
5,799,1252174.4674454129,3.4702591282024464,1.175453877320997,Construction,0,0
19,464,355444.9520989262,3.364540979115404,0.8965623597574531,Professional Services,1,0
7,481,135284.47046594048,1.98402556877385,0.1653495875202914,Logistics & Transport,0,1
9,768,266075.52625062375,2.0381607434378846,2.7488766896845607,Logistics & Transport,0,1
7,306,1217136.572584513,1.9446480208275627,0.398616207890802,Retail,0,1
18,629,235272.8130349941,2.4063309369785677,1.7409686868871106,Logistics & Transport,1,1
4,450,783186.1353855573,0.7721651067047931,2.4465604396713547,Logistics & Transport,0,1
14,384,1122679.2838934043,0.5978538450246995,3.7547248851867403,Retail,0,1
18,446,807872.9573282017,0.6731087852476966,1.3160283341274976,Professional Services,0,1
9,680,369183.4128573379,1.8330960477245433,1.0741114335414272,Construction,0,1
2,847,583893.0496525078,1.32664381765845,2.651224601715784,Professional Services,0,1
15,584,1860219.1890547252,2.3661186871129813,2.5150322250089685,Logistics & Transport,0,0
7,381,1368165.437393393,3.477326868124337,1.3952281549016858,Professional Services,0,1
12,813,1017293.2854257788,1.6589695192293976,3.7195971584881673,Construction,0,1
8,822,74794.03547444235,2.22152376231354,3.394963077209568,Professional Services,0,1
15,685,1985210.030954467,1.7468116877220066,0.9735319288738165,Construction,1,1
3,770,1359337.1230445544,3.041815003165578,1.0326559271946405,Construction,1,1
14,418,667998.8308226427,3.2067092103867143,2.0979713528596142,Construction,0,1
17,695,1764573.8869957845,3.1320668366157802,3.1169311967498095,Construction,0,0
4,831,553941.6595690453,3.423116716037773,0.2717574796150111,Professional Services,0,0
18,560,1110832.3294063655,0.5825575554212459,2.804007099565356,Construction,0,0
8,555,1290337.9892731588,3.019448486436593,2.628119999790178,Construction,0,1
4,525,481073.5743347705,2.75531651911728,1.0027723740606542,Construction,0,1
2,352,1957874.693661162,1.1860832282010945,2.7572767516412604,Construction,1,1
6,799,1508974.2166590453,3.3689602801625824,3.7667144458831223,Professional Services,0,1
10,805,1137735.7897465865,0.9445337846898364,0.2824647953898972,Professional Services,0,0
4,663,402159.46644183673,2.538649781401725,1.3466430156390439,Construction,0,0
18,579,155023.50364615093,1.1746706504477373,1.8088891949987855,Retail,0,0
12,457,674116.6734159178,1.794141946322224,3.6071153998062893,Professional Services,0,1
2,358,1518715.3050311354,2.657479690833707,3.852819641775711,Construction,0,1
10,427,575196.0316889489,2.1899739260991398,1.832049461335696,Construction,0,1
4,414,1102134.629966235,1.7825054939843352,3.0251108073545456,Retail,1,1
14,508,1469496.994624949,1.4790152927959617,2.173477992681484,Construction,0,1
16,825,260490.24356060548,3.0189789671263707,2.1973534454913684,Professional Services,1,1
15,820,1386331.131425953,0.9314430509444411,1.1845881087587902,Construction,0,0
8,536,229148.23103458717,1.7903086295894002,0.9461293588691301,Construction,0,1
14,580,1932002.9971476432,3.2112727153254266,1.2232208491037606,Logistics & Transport,0,0
8,658,1002368.5536266322,3.037548651379903,2.2696792283026093,Construction,0,1
16,500,343818.4100342609,1.70282528741914,0.2137052254861471,Retail,0,1
13,577,717648.0902654156,2.789325090803925,3.638270882989983,Construction,0,0
18,534,856162.0761257599,2.969482492126578,0.7095064672441272,Construction,0,0
15,793,1528460.7715992478,3.166662272010889,0.9583458397984075,Retail,0,0
13,303,1499676.382849388,2.133517307147684,2.121277088145821,Construction,0,1
9,741,1243283.9854077955,1.1133826581641353,2.8694475887153894,Construction,0,1
15,328,256564.88948906126,1.265927229511795,0.4733433135031495,Professional Services,0,0
13,408,345560.2745959635,1.3870840221248126,1.3390093204339326,Professional Services,0,1
1,374,232825.99525883544,2.2814074424288466,3.877830961739993,Logistics & Transport,0,1
7,445,1175486.9274107227,0.5984288723858253,1.1231375704456883,Construction,1,1
9,427,1760419.9609472377,2.4081274063399047,1.3208955657462729,Construction,0,1
1,341,895910.998896805,1.5930627152846961,3.3623441134103307,Logistics & Transport,0,1
12,655,363653.9392176051,1.3857254074689265,0.2958362835927755,Construction,0,0
8,340,1138182.5340404857,3.138489712184379,1.9119913583549863,Construction,0,1
11,333,1632916.8228881343,1.8800071867423966,1.580505381361514,Logistics & Transport,0,1
19,316,1496338.5199502136,0.7851591365980783,1.3346883636437394,Construction,1,1
17,452,1768829.0203662917,2.980240304078741,1.2142284167745818,Logistics & Transport,1,1
8,677,591909.0896352923,0.6429237723095198,0.4563590089555959,Construction,0,1
3,641,428210.041172161,2.68024767250459,1.3278207344714306,Professional Services,0,0
3,326,1765642.1475867806,2.8217186653119954,0.2679043705911074,Professional Services,0,1
1,586,1332242.609917145,1.5578078177865744,3.1457590682132976,Logistics & Transport,0,1
5,467,656311.4135147306,2.9743635688333603,1.6530883964362455,Logistics & Transport,0,1
10,567,1497578.698616393,2.04697821756936,1.8312249460476553,Logistics & Transport,0,0
7,754,1639480.8497367173,1.8898809598183903,3.5850188871555133,Construction,0,1
9,700,1249207.568665208,0.6362098444060776,2.666414437058761,Logistics & Transport,0,1
